"current_path","tracked","exists","category","size_bytes","generated","reproducible","required_for_package","required_for_tests","required_for_documentation","referenced_by","previous_destination","proposed_destination","destination_type","recommended_action","safe_for_batch_1","approval_required","risk","evidence","notes"
".RData",FALSE,TRUE,"rds",2595,FALSE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded",".RData","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; not established as generated; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds",FALSE,TRUE,"cache",16088,TRUE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/help/aliases.rds",FALSE,TRUE,"rds",309,FALSE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/help/aliases.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; not established as generated; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/help/paths.rds",FALSE,TRUE,"rds",425,FALSE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/help/paths.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; not established as generated; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/features.rds",FALSE,TRUE,"rds",122,TRUE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/Meta/features.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; generated-path/type evidence; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/hsearch.rds",FALSE,TRUE,"rds",1114,TRUE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/Meta/hsearch.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; generated-path/type evidence; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/links.rds",FALSE,TRUE,"rds",474,TRUE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/Meta/links.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; generated-path/type evidence; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/nsInfo.rds",FALSE,TRUE,"rds",450,TRUE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/Meta/nsInfo.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; generated-path/type evidence; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/package.rds",FALSE,TRUE,"rds",1186,TRUE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/Meta/package.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; generated-path/type evidence; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/Rd.rds",FALSE,TRUE,"rds",1225,TRUE,FALSE,FALSE,FALSE,FALSE,"","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded","artifacts/h24-final/library/oceancube/Meta/Rd.rds","local-ignored","leave-local",FALSE,FALSE,"low: no movement","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; generated-path/type evidence; operational location/type evidence; no active literal reference; previous decision: relocate-later","Ignored operational files must not be moved with Git."
